<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20101019,0,66.73,68.66,66.7,67.02,102677579,0.608265746,,,,,,,
SBERP,D,20101020,0,66.64,68.32,66.36,68.19,50615468,0.61888453,,,,,,,
SBERP,D,20101021,0,68.36,70.74,68.01,70.65,127891145,0.641211205,,,,,,,
SBERP,D,20101022,0,70.44,72.17,70.32,70.89,89429655,0.643389417,,,,,,,
SBERP,D,20101025,0,71.8,72.1,70.67,70.8,43002638,0.642572588,,,,,,,
SBERP,D,20101026,0,70.59,70.83,69.32,70.16,48086582,0.636764022,,,,,,,
SBERP,D,20101027,0,69.91,70.3,68.91,69.01,36939971,0.626326755,,,,,,,
SBERP,D,20101028,0,69.44,69.9,68.82,69.15,27782541,0.627597379,,,,,,,
SBERP,D,20101029,0,68.95,69.98,68.55,69.91,35855333,0.634495051,,,,,,,
SBERP,D,20101101,0,70.46,71.25,70.13,70.62,41435401,0.640938929,,,,,,,
SBERP,D,20101102,0,70.66,71.15,70.39,70.67,20550498,0.641392723,,,,,,,
SBERP,D,20101103,0,70.84,70.99,70.21,70.7,27644029,0.641664999,,,,,,,
SBERP,D,20101108,0,72.35,72.66,71.11,71.27,35857752,0.646838253,,,,,,,
SBERP,D,20101109,0,71.29,71.74,70.96,71.13,32201715,0.645567629,,,,,,,
SBERP,D,20101110,0,70.92,71.05,69.3,70,31927256,0.63531188,,,,,,,
SBERP,D,20101111,0,70.5,70.6,68.6,68.7,28714452,0.623513231,,,,,,,
SBERP,D,20101112,0,67.5,68.89,66.98,68.07,35501493,0.617795424,,,,,,,
SBERP,D,20101113,0,67.68,68.55,67.58,68.38,7552796,0.620608948,,,,,,,
SBERP,D,20101115,0,68.46,70.34,68.3,70.32,32878528,0.638216163,,,,,,,
SBERP,D,20101116,0,69.93,69.99,67.9,68.14,35713347,0.618430736,,,,,,,
SBERP,D,20101117,0,68.01,69.75,67.82,69.5,33353153,0.630773938,,,,,,,
SBERP,D,20101118,0,70.12,71.55,69.84,71.4,34841388,0.648018118,,,,,,,
SBERP,D,20101119,0,71.56,71.68,70.27,70.94,40335477,0.643843211,,,,,,,
SBERP,D,20101122,0,71.56,72.04,70.93,71.05,32150473,0.644841559,,,,,,,
SBERP,D,20101123,0,70.4,70.88,69.69,69.8,27966115,0.633496704,,,,,,,
SBERP,D,20101124,0,70.23,72.42,69.79,72.36,40916388,0.656730967,,,,,,,
SBERP,D,20101125,0,72.34,74.75,71.93,74.5,57637302,0.676153358,,,,,,,
SBERP,D,20101126,0,74.01,74.62,72.78,73.95,46658530,0.671161622,,,,,,,
SBERP,D,20101129,0,74.53,75.47,73.5,73.62,42965810,0.668166581,,,,,,,
SBERP,D,20101130,0,73.86,74.45,73.14,74.3,31950755,0.674338182,,,,,,,
SBERP,D,20101201,0,74.61,75.36,74.22,75.22,42827089,0.682687995,,,,,,,
SBERP,D,20101202,0,75.51,76,74.31,75.2,45625083,0.682506477,,,,,,,
SBERP,D,20101203,0,75.4,75.42,73.9,74.5,40043541,0.676153358,,,,,,,
SBERP,D,20101206,0,74.5,75.75,74.18,75.5,38258418,0.685229243,,,,,,,
SBERP,D,20101207,0,75.8,76.55,75.21,75.47,54496067,0.684956966,,,,,,,
SBERP,D,20101208,0,75,75.97,74.01,74.1,36008228,0.672523005,,,,,,,
SBERP,D,20101209,0,74.95,75.4,74.18,74.5,25832241,0.676153358,,,,,,,
SBERP,D,20101210,0,74.55,75.07,74.23,74.41,17947406,0.675336529,,,,,,,
SBERP,D,20101213,0,74.8,76.41,74.75,76.2,32997800,0.691582361,,,,,,,
SBERP,D,20101214,0,75.87,76.85,75.2,76.8,28740696,0.697027892,,,,,,,
SBERP,D,20101215,0,76.43,77.39,75.88,76.68,28276606,0.695938786,,,,,,,
SBERP,D,20101216,0,76.12,77.87,75.96,77.29,48360310,0.701475075,,,,,,,
SBERP,D,20101217,0,77.51,77.96,76.73,76.93,16727402,0.698207757,,,,,,,
SBERP,D,20101220,0,76.75,77.24,76.2,76.59,16675628,0.695121956,,,,,,,
SBERP,D,20101221,0,77.01,78.6,76.57,78.35,35058702,0.711095512,,,,,,,
SBERP,D,20101222,0,78.64,78.77,78,78.4,19449539,0.711549306,,,,,,,
SBERP,D,20101223,0,78.14,78.76,78.12,78.44,16815502,0.711912341,,,,,,,
